"","Date","Open","Close","Adj.Close","Volume","Result","Value"
"81","2010_8_25",19.16,19.9,19.9,503300,"High",19.98
"82","2010_8_25",19.16,19.9,19.9,503300,"Low",18.559999
"83","2010_8_26",19.889999,19.75,19.75,433800,"High",20.27
"84","2010_8_26",19.889999,19.75,19.75,433800,"Low",19.6
"85","2010_8_27",19.75,19.700001,19.700001,379600,"High",19.870001
"86","2010_8_27",19.75,19.700001,19.700001,379600,"Low",19.5
"87","2010_8_30",19.700001,19.870001,19.870001,732800,"High",20.190001
"88","2010_8_30",19.700001,19.870001,19.870001,732800,"Low",19.610001
"89","2010_8_31",19.66,19.48,19.48,201100,"High",19.790001
"90","2010_8_31",19.66,19.48,19.48,201100,"Low",19.33
"91","2010_9_1",19.620001,20.450001,20.450001,494900,"High",20.690001
"92","2010_9_1",19.620001,20.450001,20.450001,494900,"Low",19.6
"93","2010_9_2",20.370001,21.059999,21.059999,487100,"High",21.24
"94","2010_9_2",20.370001,21.059999,21.059999,487100,"Low",20.309999
"95","2010_9_3",20.870001,21.049999,21.049999,434600,"High",21.299999
"96","2010_9_3",20.870001,21.049999,21.049999,434600,"Low",20.66
"97","2010_9_7",20.610001,20.540001,20.540001,243400,"High",21
"98","2010_9_7",20.610001,20.540001,20.540001,243400,"Low",20.5
"99","2010_9_8",20.66,20.9,20.9,288400,"High",20.950001
"100","2010_9_8",20.66,20.9,20.9,288400,"Low",20.6
"101","2010_9_9",21,20.709999,20.709999,376200,"High",21.049999
"102","2010_9_9",21,20.709999,20.709999,376200,"Low",20.690001
"103","2010_9_10",20.75,20.17,20.17,386600,"High",20.93
"104","2010_9_10",20.75,20.17,20.17,386600,"Low",19.76
"105","2010_9_13",20.889999,20.719999,20.719999,360800,"High",20.9
"106","2010_9_13",20.889999,20.719999,20.719999,360800,"Low",20.5
"107","2010_9_14",20.540001,21.120001,21.120001,654700,"High",21.6
"108","2010_9_14",20.540001,21.120001,21.120001,654700,"Low",20.530001
"109","2010_9_15",20.98,21.98,21.98,684600,"High",22
"110","2010_9_15",20.98,21.98,21.98,684600,"Low",20.790001
"111","2010_9_16",22.15,20.940001,20.940001,2684500,"High",23.16
"112","2010_9_16",22.15,20.940001,20.940001,2684500,"Low",20.84
"113","2010_9_17",21.02,20.23,20.23,1198500,"High",21.32
"114","2010_9_17",21.02,20.23,20.23,1198500,"Low",19.799999
"115","2010_9_20",20.67,21.059999,21.059999,947500,"High",21.35
"116","2010_9_20",20.67,21.059999,21.059999,947500,"Low",20.16
"117","2010_9_21",20.889999,20.77,20.77,796000,"High",21.549999
"118","2010_9_21",20.889999,20.77,20.77,796000,"Low",20.67
"119","2010_9_22",20.870001,19.870001,19.870001,962900,"High",20.950001
"120","2010_9_22",20.870001,19.870001,19.870001,962900,"Low",19.799999
"121","2010_9_23",19.889999,19.559999,19.559999,668100,"High",20.139999
"122","2010_9_23",19.889999,19.559999,19.559999,668100,"Low",19.5
"123","2010_9_24",19.950001,20.1,20.1,578900,"High",20.190001
"124","2010_9_24",19.950001,20.1,20.1,578900,"Low",19.65
"125","2010_9_27",20.4,20.530001,20.530001,418600,"High",20.809999
"126","2010_9_27",20.4,20.530001,20.530001,418600,"Low",20.049999
"127","2010_9_28",21.040001,21.4,21.4,1214500,"High",21.49
"128","2010_9_28",21.040001,21.4,21.4,1214500,"Low",20.76
"129","2010_9_29",21.190001,21.98,21.98,1969300,"High",22.030001
"130","2010_9_29",21.190001,21.98,21.98,1969300,"Low",21.129999
"131","2010_9_30",22,20.41,20.41,2195800,"High",22.15
"132","2010_9_30",22,20.41,20.41,2195800,"Low",20.190001
"133","2010_10_1",20.690001,20.6,20.6,597700,"High",20.75
"134","2010_10_1",20.690001,20.6,20.6,597700,"Low",20.309999
"135","2010_10_4",20.43,20.99,20.99,643600,"High",21.17
"136","2010_10_4",20.43,20.99,20.99,643600,"Low",20.299999
